,player_name,team_abbreviation,age,player_height_cm,player_weight_lbs,college,country,draft_year,draft_round,draft_number,games_played,pts,reb,ast,net_rating,oreb_pct,dreb_pct,usg_pct,ts_pct,ast_pct,season,season_categorical,season_period
12286,Trevor Ariza,LAL,37.0,203.2,215.0,UCLA,USA,2004.0,2.0,43.0,24,4.0,3.4,1.1,-5.3,0.02,0.151,0.11,0.449,0.079,2021-22,2021-22,2021
12287,Trae Young,ATL,23.0,185.42,164.0,Oklahoma,USA,2018.0,1.0,5.0,76,28.4,3.7,9.7,2.3,0.019,0.087,0.3329999999999999,0.603,0.442,2021-22,2021-22,2021
12288,Trent Forrest,UTA,24.0,193.04,210.0,Florida State,USA,,,,60,3.3,1.7,1.8,4.5,0.031,0.093,0.124,0.5539999999999999,0.188,2021-22,2021-22,2021
12289,Theo Maledon,OKC,21.0,193.04,175.0,,France,2020.0,2.0,34.0,51,7.1,2.6,2.2,-10.5,0.02,0.118,0.201,0.5,0.188,2021-22,2021-22,2021
12290,Terrence Ross,ORL,31.0,198.12,206.0,Washington,USA,2012.0,1.0,8.0,63,10.0,2.6,1.8,-11.9,0.013,0.094,0.196,0.515,0.127,2021-22,2021-22,2021
12291,Terry Taylor,IND,22.0,195.58,230.0,Austin Peay,USA,,,,33,9.6,5.2,1.2,-6.9,0.129,0.1169999999999999,0.151,0.6559999999999999,0.081,2021-22,2021-22,2021
12292,Thaddeus Young,TOR,34.0,203.2,235.0,Georgia Tech,USA,2007.0,1.0,12.0,52,6.2,4.0,2.0,-0.2,0.088,0.152,0.1689999999999999,0.5479999999999999,0.177,2021-22,2021-22,2021
12293,Thanasis Antetokounmpo,MIL,29.0,198.12,219.0,,Greece,2014.0,2.0,51.0,48,3.6,2.1,0.5,-10.1,0.083,0.129,0.155,0.5770000000000001,0.071,2021-22,2021-22,2021
12294,Theo Pinson,DAL,26.0,195.58,212.0,North Carolina,USA,,,,19,2.5,1.1,0.9,-12.4,0.012,0.124,0.138,0.5529999999999999,0.181,2021-22,2021-22,2021
12295,Thomas Bryant,WAS,24.0,208.28,248.0,Indiana,USA,2017.0,2.0,42.0,27,7.4,4.0,0.9,-9.1,0.06,0.187,0.188,0.607,0.083,2021-22,2021-22,2021
12296,Torrey Craig,PHX,31.0,200.66,221.0,South Carolina Upstate,USA,,,,78,6.6,4.0,1.2,-5.0,0.05,0.1369999999999999,0.139,0.556,0.0819999999999999,2021-22,2021-22,2021
12297,Tim Frazier,CLE,31.0,182.88,170.0,Penn State,USA,,,,12,3.3,1.6,2.8,-17.5,0.024,0.066,0.1369999999999999,0.3979999999999999,0.254,2021-22,2021-22,2021
12298,Tim Hardaway Jr.,DAL,30.0,195.58,205.0,Michigan,USA,2013.0,1.0,24.0,42,14.2,3.7,2.2,1.3,0.01,0.114,0.214,0.52,0.115,2021-22,2021-22,2021
12299,Timothe Luwawu-Cabarrot,ATL,27.0,200.66,215.0,,France,2016.0,1.0,24.0,52,4.4,1.6,0.8,-3.5,0.024,0.094,0.135,0.556,0.08,2021-22,2021-22,2021
12300,Tobias Harris,PHI,29.0,200.66,226.0,Tennessee,USA,2011.0,1.0,19.0,73,17.2,6.8,3.5,3.2,0.032,0.1639999999999999,0.214,0.5660000000000001,0.158,2021-22,2021-22,2021
12301,Tomas Satoransky,WAS,30.0,200.66,210.0,,Czech Republic,2012.0,2.0,32.0,55,3.6,2.3,3.3,-8.0,0.0289999999999999,0.11,0.124,0.461,0.285,2021-22,2021-22,2021
12302,Tony Bradley,CHI,24.0,208.28,248.0,North Carolina,USA,2017.0,1.0,28.0,55,3.0,3.4,0.5,5.2,0.123,0.196,0.128,0.6,0.065,2021-22,2021-22,2021
12303,Tony Snell,NOP,30.0,198.12,213.0,New Mexico,USA,2013.0,1.0,20.0,53,3.5,1.9,0.5,-7.8,0.018,0.107,0.099,0.541,0.047,2021-22,2021-22,2021
12304,Terry Rozier,CHA,28.0,185.42,190.0,Louisville,USA,2015.0,1.0,16.0,73,19.3,4.3,4.5,1.4,0.021,0.1009999999999999,0.2269999999999999,0.5660000000000001,0.1969999999999999,2021-22,2021-22,2021
